# Digital Twin Training Data Generated on 2026-03-29 12:02:33
# Total Samples: 324
# Date Range: 2000-01 to 2026-12
# Calibration Factor: 0.033413 kg/score_unit
# Model Parameters: prod_weight=1.0, rain_weight=0.3, temp_weight=0.1
# Features: production_volume, production_capacity, rain_sum, temperature_mean, humidity_mean, wind_speed_mean
# Targets: Total_Waste_kg = Sum(Solid_Waste_Limestone_kg + Solid_Waste_Gypsum_kg + Solid_Waste_Industrial_Salt_kg)
# Additional: Total_Solid_Waste_kg, Total_Liquid_Waste_Liters (Bittern + Magnesium Oil)
# Potential Products: Potential_Epsom_Salt_kg, Potential_Potash_kg (derived from Bittern)
#
Year,Month,production_volume,production_capacity,rain_sum,temperature_mean,humidity_mean,wind_speed_mean,Total_Waste_kg,Solid_Waste_Gypsum_kg,Solid_Waste_Limestone_kg,Solid_Waste_Industrial_Salt_kg,Total_Solid_Waste_kg,Liquid_Waste_Bittern_Liters,Bittern_Mg_Concentration_gL,Bittern_K_Concentration_gL,Bittern_SO4_Concentration_gL,Bittern_Ca_Concentration_gL,Bittern_Magnesium_kg,Bittern_Potassium_kg,Bittern_Sulfate_kg,Bittern_Calcium_kg,Potential_Epsom_Salt_kg,Potential_Potash_kg,Potential_Magnesium_Oil_Liters,Bittern_Requires_Dilution,Total_Liquid_Waste_Liters
2000,1,2158199.48,3233620.58,270.87,26.53,100.0,19.68,89296.5443,1153.023,3433.3457,84710.1756,89296.5443,2559834.9413,6.348,1.526,8.646,0.03,16440.3004,3952.0949,22391.7512,77.6952,415300.0896,54767.5114,842734.6903,1.0,3402569.6316
2000,2,1367365.07,2059485.96,175.5,27.08,93.54,15.16,54032.8738,558.9098,2147.946,51326.018,54032.8738,1640838.084,8.056,1.9366,10.9722,0.0381,13218.5282,3177.6109,18003.6854,62.4694,275966.6635,37062.9222,600960.6048,1.0,2241798.6888
2000,3,4104517.69,6066855.87,0.0,28.84,78.18,12.51,148442.8881,2675.2332,5812.9561,139954.6988,148442.8881,4868700.2285,15.8669,3.8142,21.6107,0.075,78150.9677,18786.7638,106441.9135,369.3335,737564.329,145422.5711,1836592.897,1.0,6705293.1255
2000,4,4350494.33,6353305.94,73.13,29.61,82.02,11.14,164036.7605,1836.5461,6456.4474,155743.767,164036.7605,5220593.196,11.5991,2.7883,15.798,0.0548,60554.2584,14556.679,82475.1289,286.1732,857560.1971,144129.3564,1859197.9507,1.0,7079791.1467
2000,5,2417545.98,3248050.4,459.91,28.39,100.0,20.14,109618.3761,1300.6988,3514.4592,104803.2181,109618.3761,2842418.0622,6.348,1.526,8.646,0.03,18415.8983,4427.0102,25082.5231,87.0317,477103.2257,72178.7225,1082233.6668,1.0,3924651.729
2000,6,2237335.05,2463430.75,417.43,27.21,100.0,21.87,99289.7147,1353.9439,3207.3879,94728.3828,99289.7147,2684802.06,6.348,1.526,8.646,0.03,17043.1235,4097.0079,23212.7986,80.5441,454901.1598,79535.846,873039.1807,1.0,3557841.2407
2000,7,2702413.04,3896951.62,29.56,27.32,85.73,11.16,98944.0736,1519.558,3163.4062,94261.1093,98944.0736,3242895.648,10.9313,2.6278,14.8885,0.0517,35449.1327,8521.6409,48281.8527,167.529,492290.3532,91945.9012,1076894.3221,1.0,4319789.9701
2000,8,5091524.54,7249683.27,72.46,27.3,85.31,12.38,190786.3526,2918.3645,6410.3219,181457.6662,190786.3526,6055338.1664,10.7547,2.5853,14.6479,0.0508,65709.1633,15795.8701,89496.1288,310.5348,937590.6731,126744.4508,2359895.9322,1.0,8415234.0986
2000,9,2002128.36,2185429.21,422.61,26.87,100.0,12.2,88994.5082,1101.0837,2970.986,84922.4385,88994.5082,2402554.032,6.348,1.526,8.646,0.03,15251.413,3666.2975,20772.4822,72.0766,376018.9119,65985.94,876844.0237,1.0,3279398.0557
2000,10,2720890.33,3762309.2,430.17,27.0,100.0,18.03,121389.5863,1554.7243,3974.6876,115860.1744,121389.5863,3265068.396,6.348,1.526,8.646,0.03,20726.6542,4982.4944,28229.7814,97.9521,491348.1253,86376.4799,1037348.367,1.0,4302416.763
2000,11,2293893.95,2533734.75,419.38,27.47,100.0,18.79,101946.328,1774.6497,2553.2307,97618.4476,101946.328,2691848.4832,6.348,1.526,8.646,0.03,17473.9666,4200.5786,23799.6085,82.5802,441302.4878,72746.7768,904324.116,1.0,3596172.5992
2000,12,2427338.95,3032449.4,248.68,26.41,99.25,20.05,99324.7,1455.7008,4432.3821,93436.6171,99324.7,2828876.7354,6.562,1.5775,8.9375,0.031,19113.983,4594.8233,26033.3172,90.3307,455033.006,64683.4335,1015802.4672,1.0,3844679.2026
2001,1,1519864.8,1816136.31,329.35,26.32,100.0,18.98,64636.5274,697.0768,2613.6431,61325.8075,64636.5274,1731499.472,6.348,1.526,8.646,0.03,11577.7221,2783.1764,15768.9013,54.7151,260602.8168,51298.2417,664199.7553,1.0,2395699.2274
2001,2,1322240.07,1529699.84,356.62,27.18,100.0,11.9,57063.398,578.8474,1980.051,54504.4996,57063.398,1534056.3802,6.348,1.526,8.646,0.03,10072.296,2421.286,13718.5052,47.6006,233669.6965,31386.8341,466464.942,1.0,2000521.3221
2001,3,4259352.85,6067795.1,67.74,28.98,82.01,6.73,159883.8245,1859.344,5627.3963,152397.0842,159883.8245,5111223.42,9.5171,2.2878,12.9624,0.045,48644.1369,11693.5969,66253.4984,229.8872,773897.3657,135059.953,1546917.5491,1.0,6658140.9691
2001,4,4393355.42,5399331.71,36.84,28.64,82.21,10.54,162049.7504,2639.6978,4825.1655,154584.887,162049.7504,5272026.504,11.8313,2.8441,16.1143,0.0559,62374.9354,14994.3528,84954.8978,294.7776,883325.0898,144193.6703,2005205.2272,1.0,7277231.7312
2001,5,1894850.12,2487968.25,358.66,29.56,100.0,19.99,82283.3197,1559.6994,2850.6049,77873.0154,82283.3197,2273820.144,6.348,1.526,8.646,0.03,14434.2103,3469.8495,19659.449,68.2146,358772.5139,45722.8316,888013.6208,1.0,3161833.7648
2001,6,2262540.41,3022364.86,356.14,27.97,100.0,17.41,97792.4341,1117.7594,4520.8213,92153.8534,97792.4341,2573186.0036,6.348,1.526,8.646,0.03,17235.1278,4143.164,23474.3093,81.4515,425168.0705,67371.6207,797976.5466,1.0,3371162.5501
2001,7,4128309.44,4618623.07,6.67,27.14,82.06,9.33,149185.3781,2226.7784,6392.5635,140566.0362,149185.3781,4953971.328,11.6635,2.8038,15.8857,0.0551,57780.643,13889.9277,78697.4542,273.0654,744220.6118,122296.7404,1514083.8797,1.0,6468055.2077
2001,8,4804553.34,5276367.5,67.56,27.47,85.17,9.34,179639.1591,2612.9253,5665.75,171360.4837,179639.1591,5765464.008,9.787,2.3527,13.3299,0.0463,56426.6389,13564.4378,76853.2955,266.6665,937182.8717,148997.7115,2249198.6099,1.0,8014662.6179
2001,9,3273939.67,3967945.98,346.84,27.01,100.0,8.35,140597.0982,2562.4345,3311.917,134722.7467,140597.0982,3928727.604,6.348,1.526,8.646,0.03,24939.5628,5995.2383,33967.7789,117.8618,663939.2434,107086.0947,1419612.4025,1.0,5348340.0065
2001,10,2902613.13,3797903.29,379.05,27.28,100.0,20.45,126599.8566,2527.7394,2536.9697,121535.1475,126599.8566,3473676.5464,6.348,1.526,8.646,0.03,22110.9458,5315.2652,30115.1917,104.4941,559639.2837,96185.6664,1370284.0197,1.0,4843960.5661
2001,11,2144563.5,2984393.07,415.04,26.93,100.0,20.19,95012.5686,1483.0873,3168.9051,90360.5762,95012.5686,2573476.2,6.348,1.526,8.646,0.03,16336.4269,3927.1247,22250.2752,77.2043,431142.3736,61853.0595,806531.3601,1.0,3380007.5601
2001,12,2812142.51,3599577.07,319.29,26.15,100.0,17.5,118981.4877,1736.1014,4788.2618,112457.1245,118981.4877,3374571.012,6.348,1.526,8.646,0.03,21421.7768,5149.5954,29176.541,101.2371,572329.4422,84115.1676,1123310.869,1.0,4497881.881
2002,1,971225.12,1056786.21,309.37,26.43,100.0,19.27,40925.2563,691.7984,1351.6673,38881.7906,40925.2563,1162351.6268,6.348,1.526,8.646,0.03,7398.4045,1778.5074,10076.6549,34.9641,175266.6346,32538.9923,421689.5919,1.0,1584041.2187
2002,2,2391906.2,3007336.98,247.89,27.04,98.29,10.64,97980.7946,1501.6706,3500.4207,92978.7033,97980.7946,2870287.44,6.6136,1.5899,9.0078,0.0313,18983.0253,4563.3423,25854.9523,89.7118,444462.3168,65133.8034,969377.6315,1.0,3839665.0715
2002,3,3540787.74,5237262.22,0.0,29.89,76.87,11.43,128410.1018,2550.8863,4239.1915,121620.024,128410.1018,4155933.9367,15.9029,3.8229,21.6598,0.0752,67570.4816,16243.3136,92031.2514,319.3312,673741.2931,92977.6675,1289080.3042,1.0,5445014.2409
2002,4,3664984.26,3987884.77,1.0,29.17,76.89,10.23,132735.7725,2560.9721,3628.1167,126546.6837,132735.7725,4397981.112,14.645,3.5205,19.9466,0.0692,64408.641,15483.2366,87724.8126,304.3887,708669.8205,113099.0404,1442528.6102,1.0,5840509.7222
