# ML Training Dataset for Puttalam Salt Waste Digital Twin,,,,,,,,,,,,,,,,,,,,,,,
# Generated: 2026-03-12 09:11:23,,,,,,,,,,,,,,,,,,,,,,,
# Source: Research-grade stochastic physics model,,,,,,,,,,,,,,,,,,,,,,,
# Multi-layer uncertainty: Parametric, Process, Measurement,,,,,,,,,,,,,,,,,,,,,
# Weather persistence: Temperature (ρ=0.6), Humidity (ρ=0.5), Wind (ρ=0.4),,,,,,,,,,,,,,,,,,,,,
# Temporal correlation: ρ₁=0.24 (realistic operational variability),,,,,,,,,,,,,,,,,,,,,,,
# Random seed: 42 (reproducible),,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,
# INPUT FEATURES (7):,,,,,,,,,,,,,,,,,,,,,,,
#   Year, Month: Temporal,,,,,,,,,,,,,,,,,,,,,,
#   production_volume: Salt production (kg),,,,,,,,,,,,,,,,,,,,,,,
#   rain_sum: Monthly rainfall (mm),,,,,,,,,,,,,,,,,,,,,,,
#   temperature_mean: Average temperature (°C),,,,,,,,,,,,,,,,,,,,,,,
#   humidity_mean: Average relative humidity (%),,,,,,,,,,,,,,,,,,,,,,,
#   wind_speed_mean: Average wind speed (km/h),,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,
# TARGET VARIABLES (14):,,,,,,,,,,,,,,,,,,,,,,,
#   Solid waste: Gypsum, Limestone, Industrial_Salt (kg),,,,,,,,,,,,,,,,,,,,,
#   Bittern concentrations: Mg, K, SO4,,,,,,,,,,,,,,,,,,,,,
#   Bittern masses: Magnesium, Potassium, Sulfate,,,,,,,,,,,,,,,,,,,,,
#   Bittern volume: Liquid_Waste_Bittern_Liters,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,
# VALIDATION RESULTS:,,,,,,,,,,,,,,,,,,,,,,,
#   K concentration range: 1.22-5.02 g/L (research: 0.40-7.63 g/L) ✓,,,,,,,,,,,,,,,,,,,,,,,
#   CV: 27.2% (realistic industrial variability) ✓,,,,,,,,,,,,,,,,,,,,,,,
#   Weather correlations: r=0.63-0.69 (physics + uncertainty) ✓,,,,,,,,,,,,,,,,,,,,,,,
#   Volume-concentration independence: r=0.34 ✓,,,,,,,,,,,,,,,,,,,,,,,
#   Temporal autocorrelation: ρ₁=0.24 ✓,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,
# Documentation: docs/data_generation_methodology.md,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,
# COMPLETE DATASET: 324 samples (shuffled),,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,
Year,Month,production_volume,rain_sum,temperature_mean,humidity_mean,wind_speed_mean,predicted_waste_kg,Solid_Waste_Gypsum_kg,Solid_Waste_Limestone_kg,Solid_Waste_Industrial_Salt_kg,Total_Solid_Waste_kg,Liquid_Waste_Bittern_Liters,Bittern_Mg_Concentration_gL,Bittern_K_Concentration_gL,Bittern_SO4_Concentration_gL,Bittern_Ca_Concentration_gL,Bittern_Magnesium_kg,Bittern_Potassium_kg,Bittern_Sulfate_kg,Bittern_Calcium_kg,Bittern_Requires_Dilution,Total_Liquid_Waste_Liters,Total_Waste_kg
2011,1,1733974.85,311.32,27.13,92.11,15.87,73249.48428,29278.24223,10625.91301,33957.7615,73249.48428,3053695.955,8.024844204,1.91792286,10.49144237,0.03698693,23783.27073,5413.782235,32644.77487,107.4717828,1,3081649.003,73861.91674
2009,1,1990385.47,140.83,26.94,90.29,27.85,77242.16818,36381.08021,13241.40097,28206.66684,77242.16818,2194556.251,10.3362669,2.368040487,12.75880657,0.045210422,22999.25078,5536.445927,31144.93155,113.0037928,1,2524918.942,77829.14802
2011,6,1828632.81,423.87,27.86,94.66,22.64,81501.65415,30654.63515,11005.17332,42911.23424,81501.65415,3039439.226,6.339218484,1.471529606,8.052449572,0.028470146,19538.12637,4678.408357,24599.28827,88.90681832,1,3273191.775,84571.04271
2000,10,2698594.08,439.45,27.29,97.42,15.05,120971.622,41651.96284,15080.56783,60270.43189,120971.622,4619756.754,5.805333719,1.483405095,8.192530064,0.027354611,28853.06348,7044.151772,41263.90222,146.8947607,1,4867634.048,117002.9626
2015,1,1596451.99,303.37,27.3,93.64,17.7,67211.48186,25188.16364,9118.299883,28686.74133,67211.48186,2788261.293,11.49865153,2.703027011,15.17602125,0.054980404,32874.50739,7763.823787,43601.88935,150.8435752,1,2849453.942,62993.20485
2010,7,4256343.98,16.22,28.19,85.01,13.44,155053.722,86859.78705,31031.46545,41935.14662,155053.722,7243324.893,11.02632763,2.411476501,13.88040765,0.046191014,73499.29448,17246.69645,92940.21467,338.1873879,1,7413345.249,159826.3991
2018,4,5149674.34,7.92,28.39,84.5,11.43,186838.1657,99630.41393,35489.28974,46118.33201,186838.1657,9716806.398,13.18212011,3.000798606,18.25543613,0.064265903,129593.3977,29548.46259,169886.5969,631.8703398,1,8956141.956,181238.0357
2016,5,2114783.04,520.16,29,92.38,16.06,98567.76716,32940.57999,11629.5075,52344.41325,98567.76716,3964417.978,9.190508787,2.186089089,12.09757653,0.040414706,36699.22024,8238.508284,49345.00619,169.6695614,1,3761282.622,96914.50074
2022,3,4189734.38,34.16,27.85,89.23,12.67,153998.0695,83598.17544,30016.62456,43929.33004,153998.0695,7408400.251,11.93421345,2.784913465,16.4743675,0.06076383,88647.72865,20980.14269,118718.0067,437.4194378,1,7385733.594,157544.13
2012,1,1110632.12,205.5,26.75,90.32,25.45,44520.77453,19777.27244,7218.805954,18295.16134,44520.77453,1703636.889,8.913446435,2.203278248,12.40881044,0.041420548,16322.09145,3557.10015,21994.82959,74.76263716,1,1709553.595,45291.23973
2014,12,2075413.83,172.24,27.41,91.13,23.14,81941.91158,36799.2636,13299.7569,30941.88442,81941.91158,3378050.116,11.78173661,2.711740456,15.63374662,0.053163828,38345.48285,9611.834829,53079.15432,171.8557808,1,3274743.392,81040.90492
2013,9,1177897.98,212.82,27.48,87.71,12.29,47472.13286,20480.12063,7394.079222,19077.64865,47472.13286,1996821.932,8.760883258,1.984472578,12.09981916,0.043010216,19216.46075,4367.715778,25694.71886,86.50467346,1,2067466.166,46951.8485
2018,11,2341247.18,247.45,26.69,94,15.04,95806.7461,39251.1657,14339.83138,40102.23469,95806.7461,4014086.647,7.461584789,1.919390911,10.75612524,0.037637731,31756.32674,7065.893067,43361.64136,147.4386631,1,4183028.295,93693.23177
